CART POSITION,CART ACCELERATION,POLE POSITION,POLE FALLING,FORCE TO APPLY,Q,
RIGHT,STOPPED,STANDING,LEFT,LEFT8,slightly good,
RIGHT,STOPPED,STANDING,RIGHT,RIGHT10,slightly good,
RIGHT,STOPPED,MAX RIGHT,RIGHT,LEFT6,very bad,
RIGHT,STOPPED,MAX RIGHT,RIGHT,RIGHT4,very bad,
RIGHT,STOPPED,BIT LEFT,RIGHT,RIGHT8,slightly good,
LEFT,RIGHT,MAX RIGHT,LEFT,RIGHT10,neutral,
RIGHT,RIGHT,MAX LEFT,LEFT,RIGHT5,very bad,
RIGHT,STOPPED,MAX RIGHT,RIGHT,STOP,very bad,
LEFT,LEFT,MAX RIGHT,LEFT,RIGHT10,neutral,
RIGHT,LEFT,RIGHT,RIGHT,STOP,bad,
RIGHT,STOPPED,MAX RIGHT,RIGHT,RIGHT6,very bad,
RIGHT,STOPPED,MAX RIGHT,RIGHT,LEFT1,very bad,
RIGHT,RIGHT,MAX RIGHT,RIGHT,RIGHT3,bad,
RIGHT,RIGHT,MAX LEFT,LEFT,RIGHT1,very bad,
RIGHT,LEFT,MAX RIGHT,RIGHT,STOP,bad,
RIGHT,RIGHT,MAX LEFT,LEFT,RIGHT1,very bad,
LEFT,LEFT,MAX RIGHT,RIGHT,RIGHT10,neutral,
RIGHT,LEFT,MAX RIGHT,LEFT,RIGHT10,neutral,
RIGHT,LEFT,MAX RIGHT,RIGHT,RIGHT10,bad,
RIGHT,RIGHT,MAX RIGHT,RIGHT,RIGHT10,very bad,
RIGHT,RIGHT,MAX RIGHT,LEFT,RIGHT10,neutral,
RIGHT,RIGHT,MAX RIGHT,RIGHT,RIGHT7,very bad,
RIGHT,RIGHT,MAX RIGHT,LEFT,RIGHT10,neutral,
RIGHT,RIGHT,MAX RIGHT,RIGHT,RIGHT7,very bad,
